Winner
Yellow
Blue
Red
Blue
Yellow
Red
Yellow
Blue
Yellow
Red
Red
Yellow
Red
Yellow
Yellow
Blue
Blue
Red
Blue
Yellow
Blue
Blue
Blue
Yellow
Blue
Red
Blue
Blue
Blue
Blue
Red
Blue
Yellow
Yellow
Blue
Red
Blue
Yellow
Blue
Blue
Red
Blue
Blue
Blue
Blue
Red
Yellow
Blue
Blue
Yellow
Blue
Blue
Yellow
Blue
Red
Blue
Yellow
Blue
Blue
Blue
Blue
Red
Yellow
Red
Yellow
Red
Red
Blue
Blue
Blue
Blue
Blue
Yellow
Blue
Yellow
Blue
Red
Yellow
Blue
Red
Blue
Blue
Yellow
Blue
Yellow
Blue
Red
Red
Blue
Blue
Red
Red
Red
Blue
Red
Red
Blue
Red
Red
Blue
Yellow
Red
Blue
Blue
Blue
Red
Blue
Red
Blue
Red
Red
Blue
Blue
Red
Red
Yellow
Red
Blue
Yellow
Blue
Blue
Blue
Blue
Blue
Blue
Red
Red
Blue
Blue
Blue
Red
Yellow
Blue
Blue
Red
Blue
Blue
Blue
Blue
Yellow
Blue
Blue
Yellow
Yellow
Red
Yellow
Red
Blue
Blue
Blue
Blue
Blue
Blue
Blue
Yellow
