Red,Blue,Yellow,Winner
Mii Gunner,Pichu,Falco,Blue
Bowser Jr.,Mario,Chrom,Red
Roy,Rosalina & Luma,Piranha Plant,Yellow
Mega Man,Simon,Lucas,Blue
Zelda,Meta Knight,Ice Climbers,Yellow
Ryu,King K. Rool,Jigglypuff,Red
Marop,Byleth,Kazuya,Blue
Duck,Toon Link,Kirby,Yellow
Samus,Palutena,Ganondorf,Red
Inkling,Pikachu,Steve,Red
Mii Brawler,Zelda,Piranha Plant,Red
Joker,Pikachu,Wolf,Yellow
Hero,,Wolf,Red
Ganondorf,Alph,Ike,Blue
Toon Link,Pyra & Mythra,,Red
Corrin,Bowser Jr.,Mii Gunner,Yellow
Yoshi,Mr. Game & Watch,,Red
,Bowser Jr.,Villager,Blue
Marth,Zero Suit Samus,Meta Knight,Yellow
Robin,Byleth,Mii Gunner,Blue
Diddy Kong,Isabelle,Snake,Blue
Dark Samus,Ganondorf,Random,Yellow
Olimar,Peach,Sheik,Red
Kirby,Roy,Terry,Red
Lucina,Marth,Cloud,Blue
Captain Falcon,Pac-Man,Toon Link,Red
Samus,Dark Samus,,Blue
Min Min,Byleth,Dark Pit,Red
,Roy,Pikachu,Blue
Richter,Steve,,Blue
Little Mac,Kazuya,Dark Samus,Blue
King Dedede,Dark Pit,Inkling,Yellow
Zero Suit Samus,Pichu,Mii Gunner,Blue
Pokemon Trainer,Inkling,Bowser Jr.,Blue
Ken,Richter,Olimar,Blue
Fox,Young Link,Zelda,Blue
Chrom,Pit,Piranha Plant,Yellow
Sonic,Simon,Meta Knight,Blue
Incineroar,Incineroar,,Blue
Pikachu,Link,Jigglypuff,Blue
Hero,,,Yellow
Dark Pit,Fox,Duck Hunt,Yellow
Duck Hunt,Peach,Little Mac,Yellow
Roy,Hero,Byleth,Red
Luigi,Simon,,Blue
Wii Fit Trainer,Kazuya,Zelda,Red
Duck Hunt,Marth,Shulk,Yellow
,,Hero,
Random,Fox,Pyra & Mythra,Blue
Peach,,Sora,Yellow
Yoshi,Mario,,Red
Zero Suit Samus,Corrin,Chrom,Blue
Mii Brawler,Simon,Kazuya,Blue
Mario,Captain Falcon,King K. Rool,Blue
Lucas,Richter,King Dedede,Blue
Robin,Sephiroth,Kirby,Blue
Falco,Link,Sheik,Blue
Falco,Bowser Jr.,Simon,Blue
Isabelle,,R.O.B.,Yellow
Pac-Man,King Dedede,Fox,Red
,Diddy Kong,Dr. Mario,Blue
Samus,Roy,King Dedede,Red
Olimar,Shulk,Ken,Blue
Random,Hero,Inkling,Red
Robin,Ryu,Ness,Blue
Sonic,Bayonetta,,Blue
Banjo & Kazooie,Chrom,Kirby,Red
Kirby,Byleth,Ice Climbers,Red
Toon Link,Ness,Wolf,Blue
Meta Knight,Pyra & Mythra,Jigglypuff,Blue
Diddy Kong,Random,Terry,Red
Sheik,Sora,Pichu,Blue
Mii Swordfighter,Marth,Yoshi,Blue
Wario,Isabelle,Ridley,Blue
Mario,Pichu,,Blue
,Samus,Pyra & Mythra,Blue
Donkey Kong,Cloud,,Blue
Snake,Diddy Kong,Hero,Yellow
Lucas,Robin,Wii Fit Trainer,Red
Banjo & Kazooie,Snake,Falco,Blue
Daisy,Pac-Man,Marth,Blue
Captain Falcon,Jigglypuff,King Dedede,Blue
Palutena,Pichu,Sheik,Red
Ice Climbers,Ridley,Little Mac,Ridley
Yoshi,Ryu,Robin,Red
Joker,Incineroar,,Blue
Lucina,Pac-Man,Sora,Blue
Kirby,Lucas,,Red
Kirby,Bowser,Joker,Yellow
King Dedede,Mr. Game & Watch,Meta Knight,Yellow
King Dedede,,Ganondorf,Red
Sora,Joker,Isabelle,Yellow
Lucario,Piranha Plant,Terry,Blue
Greninja,Byleth,Corrin,Blue
King K. Rool,Piranha Plant,Wolf,Yellow
Dark Pit,Inkling,Isabelle,Yellow
,Ganondorf,Pac-Man,Blue
Peach,King K. Rool,Robin,Blue
Zelda,Mewtwo,Hero,Yellow
,Pyra & Mythra,Hero,Blue
Donkey Kong,Robin,Meta Knight,Red
Daisy,Corrin,Lucario,Red
Rosalina & Luma,Cloud,Wolf,Blue
Luigi,King K. Rool,,Blue
Palutena,Corrin,Cloud,Yellow
Mario,Shulk,Lucario,Yellow
Diddy Kong,Mewtwo,Inkling,Yellow
Mii Gunner,Robin,Yoshi,Red
Dr. Mario,Fox,Mii Swordfighter,Yellow
Bowser Jr.,Ryu,Ken,Blue
Kazuya,Bowser Jr.,Mr. Game & Watch,Red
Banjo & Kazooie,Zelda,Dr. Mario,Red
,Wario,Wolf,Yellow
Lucario,Zelda,Mii Swordfighter,Blue
Bowser,Roy,Ness,Yellow
Mario,Samus,Pit,Yellow
Mario,Banjo & Kazooie,Random,Blue
King Dedede,Dark Samus,,Red
Joker,Wario,Byleth,Red
Mii Brawler,Sephiroth,Min Min,Yellow
Mario,,Min Min,Red
Min Min,Toon Link,Zelda,Blue
Isabelle,Dark Samus,Ness,Blue
Wii Fit Trainer,Banjo & Kazooie,Joker,Yellow
Mario,Falco,,Red
King Dedede,Pikachu,Isabelle,Blue
Piranha Plant,Dark Pit,Lucario,Blue
Dr. Mario,Pichu,Sonic,Yellow
Mario,,Captain Falcon,Red
Ryu,Pokemon Trainer,Sonic,Yellow
Zero Suit Samus,Pikachu,Inkling,Blue
Bowser,R.O.B.,Mii Brawler,Red
Zelda,Roy,Isabelle,Yellow
Duck Hunt,Diddy Kong,Isabelle,Yellow
Mii Brawler,Peach,Mii Swordfighter,Yellow
Pikachu,Wolf,Sheik,Red
Lucario,Robin,Pokemon Trainer,Blue
Random,Pokemon Trainer,Ness,Blue
Mario,Dark Pit,Donkey Kong,Yellow
Samus,Captain Falcon,Byleth,Red
Ganondorf,Steve,Lucas,Red
Sora,Samus,Random,Yellow
Donkey Kong,,Ridley,Red
Ridley,Bowser Jr.,Samus,Yellow
Toon Link,Corrin,Yoshi,Red
Mr. Game & Watch,King Dedede,Ryu,Blue
,Terry,Ryu,Blue
Captain Falcon,Daisy,Mii Swordfighter,Yellow
Kazuya,Steve,Ice Climbers,Yellow
Peach,Palutena,Dark Pit,Blue
Palutena,Zelda,Sora,Blue
Wolf,Ridley,Dr. Mario,Blue
Steve,Sora,Meta Knight,Blue
Daisy,Ice Climbers,Piranha Plant,Red
Duck Hunt,Terry,Simon,Blue
Dr. Mario,Young Link,Bayonetta,Red
Toon Link,Richter,Donkey Kong,Red
Banjo & Kazooie,Sephiroth,Little Mac,Blue
Palutena,Zero Suit Samus,Diddy Kong,Red
Steve,Greninja,Mega Man,Blue
Hero,Kazuya,Toon Link,Red
Min Min,Mr. Game & Watch,Inkling,Red
Snake,King K. Rool,Pokemon Trainer,Blue
Duck Hunt,Diddy Kong,,Blue
Sonic,Incineroar,,Red
Inkling,Sephiroth,,Blue
,,Meta Knight,
Sephiroth,Shulk,,Blue
Jigglypuff,Ganondorf,Luigi,Yellow
Donkey Kong,Ryu,Luigi,Red
Samus,Simon,Zero Suit Samus,Red
Palutena,Steve,Random,Blue
Mewtwo,Ike,Ness,Blue
Inkling,Steve,Little Mac,Blue
Sonic,Jigglypuff,Mii Brawler,Blue
King Dedede,Sora,Mii Swordfighter,Blue
Villager,Ness,Falco,Blue
Ice Climbers,Rosalina & Luma,Ness,Yellow
Corrin,Pikachu,,Blue
Robin,Pikachu,Lucina,Red
Donkey Kong,Jigglypuff,Random,Blue
Random,Ganondorf,Ryu,Blue
,Jigglypuff,Lucina,Yellow
Link,Sora,Roy,Blue
Dark Samus,Sephiroth,,Blue
Captain Falcon,Captain Falcon,Kirby,Yellow
Hero,,Little Mac,Red
Chrom,Sephiroth,Jigglypuff,Red
R.O.B.,Simon,Meta Knight,Yellow
Zero Suit Samus,Byleth,Mr. Game & Watch,Blue
Bayonetta,Mii Gunner,Ridley,Blue
Ice Climbers,Mii Swordfighter,Piranha Plant,Red
Marth,Ike,Dark Pit,Blue
Mega Man,Random,Yoshi,Red
Inkling,Dark Samus,Lucas,Blue
Ganondorf,Piranha Plant,Bowser Jr.,Blue
Kirby,,R.O.B.,Red
Palutena,Mii Gunner,Cloud,Blue
Incineroar,Pyra & Mythra,Snake,Blue
Daisy,Falco,Ken,Blue
Luigi,Marth,Lucario,Yellow
Yoshi,Steve,Banjo & Kazooie,Blue
Greninja,Corrin,Bowser Jr.,Blue
Joker,Kirby,Ike,Blue
,Random,Lucina,Yellow
Ridley,Mr. Game & Watch,Mega Man,Yellow
Bowser,Mega Man,Duck Hunt,Red
Inkling,Diddy Kong,Incineroar,Red
Samus,Sephiroth,Isabelle,Red
Joker,Pokemon Trainer,Pac-Man,Red
,,Lucas,
Wii Fit Trainer,Ryu,Kazuya,Blue
Ness,Mii Gunner,Yoshi,Red
Ryu,Bowser,Mario,Blue
,Random,Terry,Blue
Pikachu,Dr. Mario,Ness,Yellow
Joker,Incineroar,,Blue
Palutena,Wii Fit Trainer,Richter,Red
,Diddy Kong,Sonic,Blue
Lucas,Palutena,Ice Climbers,Blue
